"scientificNameID","acceptedNameUsageID","scientificName","acceptedNameUsage","class","order","family","genus","taxonomicStatus","AphiaID"
"urn:lsid:marinespecies.org:taxname:281349","urn:lsid:marinespecies.org:taxname:281349","Liachirus whitleyi","Liachirus whitleyi","Actinopteri","Pleuronectiformes","Soleidae","Liachirus","accepted",281349
"urn:lsid:marinespecies.org:taxname:281350","urn:lsid:marinespecies.org:taxname:281350","Lile gracilis","Lile gracilis","Actinopteri","Clupeiformes","Clupeidae","Lile","accepted",281350
"urn:lsid:marinespecies.org:taxname:281351","urn:lsid:marinespecies.org:taxname:281351","Lile nigrofasciata","Lile nigrofasciata","Actinopteri","Clupeiformes","Clupeidae","Lile","accepted",281351
"urn:lsid:marinespecies.org:taxname:281352","urn:lsid:marinespecies.org:taxname:281352","Lile piquitinga","Lile piquitinga","Actinopteri","Clupeiformes","Clupeidae","Lile","accepted",281352
"urn:lsid:marinespecies.org:taxname:281353","urn:lsid:marinespecies.org:taxname:281353","Lile stolifera","Lile stolifera","Actinopteri","Clupeiformes","Clupeidae","Lile","accepted",281353
"urn:lsid:marinespecies.org:taxname:281359","urn:lsid:marinespecies.org:taxname:281359","Linkenchelys multipora","Linkenchelys multipora","Actinopteri","Anguilliformes","Synaphobranchidae","Linkenchelys","accepted",281359
"urn:lsid:marinespecies.org:taxname:281360","urn:lsid:marinespecies.org:taxname:281360","Liobranchia stria","Liobranchia stria","Actinopteri","Gobiesociformes","Gobiesocidae","Liobranchia","accepted",281360
"urn:lsid:marinespecies.org:taxname:281361","urn:lsid:marinespecies.org:taxname:281361","Liocranium praepositum","Liocranium praepositum","Actinopteri","Perciformes","Tetrarogidae","Liocranium","accepted",281361
"urn:lsid:marinespecies.org:taxname:281363","urn:lsid:marinespecies.org:taxname:281363","Lioscorpius longiceps","Lioscorpius longiceps","Actinopteri","Perciformes","Setarchidae","Lioscorpius","accepted",281363
"urn:lsid:marinespecies.org:taxname:281364","urn:lsid:marinespecies.org:taxname:281364","Lioscorpius trifasciatus","Lioscorpius trifasciatus","Actinopteri","Perciformes","Setarchidae","Lioscorpius","accepted",281364
"urn:lsid:marinespecies.org:taxname:281365","urn:lsid:marinespecies.org:taxname:281365","Lipariscus nanus","Lipariscus nanus","Actinopteri","Perciformes","Liparidae","Lipariscus","accepted",281365
"urn:lsid:marinespecies.org:taxname:281366","urn:lsid:marinespecies.org:taxname:281366","Lipogramma anabantoides","Lipogramma anabantoides","Actinopteri","Ovalentaria incertae sedis","Grammatidae","Lipogramma","accepted",281366
"urn:lsid:marinespecies.org:taxname:281367","urn:lsid:marinespecies.org:taxname:281367","Lipogramma evides","Lipogramma evides","Actinopteri","Ovalentaria incertae sedis","Grammatidae","Lipogramma","accepted",281367
"urn:lsid:marinespecies.org:taxname:281368","urn:lsid:marinespecies.org:taxname:281368","Lipogramma flavescens","Lipogramma flavescens","Actinopteri","Ovalentaria incertae sedis","Grammatidae","Lipogramma","accepted",281368
"urn:lsid:marinespecies.org:taxname:281369","urn:lsid:marinespecies.org:taxname:281369","Lipogramma klayi","Lipogramma klayi","Actinopteri","Ovalentaria incertae sedis","Grammatidae","Lipogramma","accepted",281369
"urn:lsid:marinespecies.org:taxname:281371","urn:lsid:marinespecies.org:taxname:281371","Lipogramma robinsi","Lipogramma robinsi","Actinopteri","Ovalentaria incertae sedis","Grammatidae","Lipogramma","accepted",281371
"urn:lsid:marinespecies.org:taxname:281374","urn:lsid:marinespecies.org:taxname:281374","Lipolagus ochotensis","Lipolagus ochotensis","Actinopteri","Argentiniformes","Bathylagidae","Lipolagus","accepted",281374
"urn:lsid:marinespecies.org:taxname:281375","urn:lsid:marinespecies.org:taxname:281375","Lissocampus bannwarthi","Lissocampus bannwarthi","Actinopteri","Syngnathiformes","Syngnathidae","Lissocampus","accepted",281375
"urn:lsid:marinespecies.org:taxname:281376","urn:lsid:marinespecies.org:taxname:281376","Lissocampus caudalis","Lissocampus caudalis","Actinopteri","Syngnathiformes","Syngnathidae","Lissocampus","accepted",281376
"urn:lsid:marinespecies.org:taxname:281377","urn:lsid:marinespecies.org:taxname:281377","Lissocampus fatiloquus","Lissocampus fatiloquus","Actinopteri","Syngnathiformes","Syngnathidae","Lissocampus","accepted",281377
"urn:lsid:marinespecies.org:taxname:281378","urn:lsid:marinespecies.org:taxname:281378","Lissocampus filum","Lissocampus filum","Actinopteri","Syngnathiformes","Syngnathidae","Lissocampus","accepted",281378
"urn:lsid:marinespecies.org:taxname:281379","urn:lsid:marinespecies.org:taxname:281379","Lissocampus runa","Lissocampus runa","Actinopteri","Syngnathiformes","Syngnathidae","Lissocampus","accepted",281379
"urn:lsid:marinespecies.org:taxname:281380","urn:lsid:marinespecies.org:taxname:281380","Litobranchus fowleri","Litobranchus fowleri","Actinopteri","Blenniiformes","Blenniidae","Litobranchus","accepted",281380
"urn:lsid:marinespecies.org:taxname:281381","urn:lsid:marinespecies.org:taxname:281381","Lobulogobius morrigu","Lobulogobius morrigu","Actinopteri","Gobiiformes","Gobiidae","Lobulogobius","accepted",281381
"urn:lsid:marinespecies.org:taxname:281382","urn:lsid:marinespecies.org:taxname:281382","Lobulogobius omanensis","Lobulogobius omanensis","Actinopteri","Gobiiformes","Gobiidae","Lobulogobius","accepted",281382
"urn:lsid:marinespecies.org:taxname:281383","urn:lsid:marinespecies.org:taxname:281383","Lonchopisthus higmani","Lonchopisthus higmani","Actinopteri","Ovalentaria incertae sedis","Opistognathidae","Lonchopisthus","accepted",281383
"urn:lsid:marinespecies.org:taxname:281384","urn:lsid:marinespecies.org:taxname:281384","Lonchopisthus lemur","Lonchopisthus lemur","Actinopteri","Ovalentaria incertae sedis","Opistognathidae","Lonchopisthus","accepted",281384
"urn:lsid:marinespecies.org:taxname:281386","urn:lsid:marinespecies.org:taxname:281386","Lonchopisthus micrognathus","Lonchopisthus micrognathus","Actinopteri","Ovalentaria incertae sedis","Opistognathidae","Lonchopisthus","accepted",281386
"urn:lsid:marinespecies.org:taxname:281387","urn:lsid:marinespecies.org:taxname:281387","Lonchopisthus sinuscalifornicus","Lonchopisthus sinuscalifornicus","Actinopteri","Ovalentaria incertae sedis","Opistognathidae","Lonchopisthus","accepted",281387
"urn:lsid:marinespecies.org:taxname:281388","urn:lsid:marinespecies.org:taxname:281388","Lonchurus elegans","Lonchurus elegans","Actinopteri","Eupercaria incertae sedis","Sciaenidae","Lonchurus","accepted",281388
"urn:lsid:marinespecies.org:taxname:281389","urn:lsid:marinespecies.org:taxname:281389","Lonchurus lanceolatus","Lonchurus lanceolatus","Actinopteri","Eupercaria incertae sedis","Sciaenidae","Lonchurus","accepted",281389
"urn:lsid:marinespecies.org:taxname:281390","urn:lsid:marinespecies.org:taxname:281390","Lophichthys boschmai","Lophichthys boschmai","Actinopteri","Lophiiformes","Lophichthyidae","Lophichthys","accepted",281390
"urn:lsid:marinespecies.org:taxname:281391","urn:lsid:marinespecies.org:taxname:281391","Lophiocharon hutchinsi","Lophiocharon hutchinsi","Actinopteri","Lophiiformes","Antennariidae","Lophiocharon","accepted",281391
"urn:lsid:marinespecies.org:taxname:281392","urn:lsid:marinespecies.org:taxname:281392","Lophiocharon lithinostomus","Lophiocharon lithinostomus","Actinopteri","Lophiiformes","Antennariidae","Lophiocharon","accepted",281392
"urn:lsid:marinespecies.org:taxname:281393","urn:lsid:marinespecies.org:taxname:281393","Lophiocharon trisignatus","Lophiocharon trisignatus","Actinopteri","Lophiiformes","Antennariidae","Lophiocharon","accepted",281393
